game,total_sec,success
20112012_71.html.csv,71,0
20112012_711.html.csv,150,-1
20112012_715.html.csv,86,0
20112012_717.html.csv,69,0
20112012_718.html.csv,38,0
20112012_72.html.csv,60,-1
20112012_723.html.csv,92,1
20112012_724.html.csv,146,0
20112012_725.html.csv,96,-1
20112012_726.html.csv,78,0
20112012_729.html.csv,13,-1
20112012_730.html.csv,104,0
20112012_731.html.csv,44,0
20112012_732.html.csv,81,0
20112012_733.html.csv,35,0
20112012_736.html.csv,27,0
20112012_737.html.csv,48,1
20112012_739.html.csv,31,1
20112012_74.html.csv,68,0
20112012_740.html.csv,109,-1
20112012_741.html.csv,78,-1
20112012_743.html.csv,0,0
20112012_744.html.csv,75,0
20112012_745.html.csv,310,-1
20112012_746.html.csv,96,0
20112012_75.html.csv,54,0
20112012_750.html.csv,61,0
20112012_751.html.csv,59,-1
20112012_754.html.csv,355,0
20112012_755.html.csv,85,-1
20112012_756.html.csv,102,-1
20112012_758.html.csv,106,0
20112012_763.html.csv,74,0
20112012_764.html.csv,10,0
20112012_765.html.csv,96,0
20112012_767.html.csv,41,0
20112012_768.html.csv,158,0
20112012_770.html.csv,86,1
20112012_773.html.csv,57,0
20112012_774.html.csv,171,-1
20112012_775.html.csv,36,-1
20112012_777.html.csv,122,1
20112012_778.html.csv,39,1
20112012_779.html.csv,79,-1
20112012_780.html.csv,98,-1
20112012_781.html.csv,76,-1
20112012_782.html.csv,122,0
20112012_783.html.csv,162,-1
20112012_784.html.csv,82,-1
20112012_786.html.csv,68,0
20112012_789.html.csv,42,0
20112012_791.html.csv,36,0
20112012_792.html.csv,49,0
20112012_794.html.csv,27,0
20112012_796.html.csv,133,-1
20112012_798.html.csv,113,0
20112012_8.html.csv,158,1
20112012_800.html.csv,87,0
20112012_802.html.csv,113,1
20112012_804.html.csv,127,0
20112012_805.html.csv,178,1
20112012_806.html.csv,59,-1
20112012_807.html.csv,108,1
20112012_808.html.csv,56,-1
20112012_809.html.csv,91,-1
20112012_812.html.csv,45,1
20112012_813.html.csv,292,0
20112012_815.html.csv,23,0
20112012_816.html.csv,67,1
20112012_817.html.csv,40,-1
20112012_82.html.csv,85,0
20112012_821.html.csv,73,0
20112012_824.html.csv,90,-1
20112012_828.html.csv,31,0
20112012_829.html.csv,68,0
20112012_83.html.csv,315,-1
20112012_830.html.csv,64,0
